fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
05051,0.3378418846,0,0.1425333969,0.1369166429
05053,0.7377213498,0,0.0927007299,0.0632339657
05055,0.4514386916,0,0.1313619562,0.1135432518
05057,0.5586842761,1,0.1335095836,0.0960660085
05059,0.7320823245,0,0.1255178128,0.1145188772
05061,1,1,0.1170313987,0.1083299138
05063,0.71234646,1,0.1344947735,0.1194887261
05065,1,1,0.1091891892,0.1061750333
05067,0.6450611758,1,0.1220735786,0.1139887245
05069,0.3059322034,0,0.1374155232,0.1324009933
05071,0.6964542312,0,0.1461928934,0.1239592969
05073,1,1,0.082,0.0857400722
05075,0.5966946226,0,0.0798722045,0.0922793502
05077,1,1,0.191681736,0.1751923947
05079,1,0,0.0707964602,0.0809729064
05081,1,1,0.0715036803,0.0961323497
05083,1,0,0.1088270859,0.0810608891
05085,0.5193676957,0,0.1013748854,0.085271028
05087,1,0,0.1015689513,0.0460279577
05089,1,1,0.1345323741,0.0919003115
05091,0.3990610329,1,0.1323891626,0.1454156122
05093,0.4563844169,1,0.1336331513,0.1144729504
05095,1,1,0.1438721137,0.0979498861
05097,1,1,0.0994550409,0.0788262371
05099,1,1,0.154723127,0.1881809178
05101,1,1,0.1534296029,0.100410601
05103,0.5641059603,1,0.1214738054,0.0934238652
05105,1,0,0.0884718499,0.0359467874
05107,0.4809874457,1,0.1670625495,0.168232743
05109,1,0,0.0940594059,0.1182939914
05111,0.6850424559,0,0.1179087875,0.089245125
05113,0.7120857396,1,0.1460892049,0.1085012678
05115,0.5588583329,0,0.1231495387,0.099328628
05117,1,0,0.0649926145,0.0596816976
05119,0.1136160351,0,0.1636965299,0.1477461253
05121,0.6142372516,0,0.1112646856,0.0641120118
05123,0.6294066696,0,0.1657458564,0.1535406109
05125,0.3676184611,0,0.1006951759,0.0914123373
05127,1,0,0.1205583756,0.11908646
05129,1,0,0.0944350759,0.1141342756
05131,0.1967464534,1,0.1351167975,0.1235870084
05133,0.627880548,0,0.1509090909,0.1026119403
05135,1,0,0.1388888889,0.1154252908
05137,1,1,0.155982906,0.0850544082
05139,0.521227019,0,0.1622718053,0.139869921
05141,1,1,0.1172661871,0.1052553001
05143,0.2400120388,1,0.1555896201,0.1217157827
05145,0.5591367056,1,0.1117132867,0.0981089616
05147,1,1,0.1062618596,0.1263358779
05149,0.8070374574,1,0.1366047745,0.0738440304
06001,0.0049056292,0,0.2338722848,0.1805535185
06003,1,0,0.1149425287,0.0984682713
06005,0.692296289,0,0.1870737252,0.1563165022
06007,0.2101667045,1,0.2049478251,0.1969310109
06009,0.8197474168,0,0.1966091612,0.1890083495
06011,0.4270342049,1,0.1635865845,0.1296582759
06013,0.0100014838,1,0.2062798534,0.174264941
06015,0.4369750928,0,0.1741867786,0.1485200846
06017,0.3667233308,1,0.1754209432,0.1646794725
06019,0.1126501258,0,0.2630239807,0.1933726707
06021,0.4121105232,0,0.223475141,0.1675110488
06023,0.3153455515,0,0.2431602457,0.2093858699
06025,0.1840547128,1,0.2549407115,0.1850200718
06027,0.4208561212,1,0.1692209451,0.1137260058
06029,0.1335287357,1,0.2441346171,0.1846355737
06031,0.1091378881,1,0.2051519002,0.1661902625
06033,0.4078752402,1,0.2077551796,0.1736446379
06035,0.7251756798,0,0.1442199776,0.1457360811
06037,0.0089095187,1,0.3194513,0.2411145172
06039,0.3860740456,1,0.2566544286,0.1833094067
06041,0.060128621,0,0.2158554217,0.2018843997
06043,1,0,0.2068511199,0.1692138235
06045,0.4846453641,1,0.2250987275,0.1820306572
06047,0.1679895591,1,0.2295393286,0.1915537135
06049,1,0,0.121522694,0.1379980564
06051,0.4660856385,1,0.1380597015,0.1713686618
06053,0.1425330555,1,0.3064050779,0.1900095584
06055,0.1472550881,1,0.2259718946,0.1789441058
06057,0.4820473196,1,0.2151681957,0.2145246999
06059,0.0024982829,0,0.2624268384,0.2029104901
