fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48239,Jackson,0.6056845476,0.218840467908496,0,0,0,145.558687129819,0.539410402699135,1,0.233263428112362,0.467901372848012,FALSE,FALSE
48241,Jasper,0.7785627653,0.0196641066300204,0,0,0,163.957041672089,0.770907894682489,1,0.194063390774817,0.565668684266139,FALSE,FALSE
48243,Jeff Davis,1,0.0160744834779085,0,0,0,132.894531179395,0.991962758261046,1,0.264756349497729,0.704811696510066,FALSE,FALSE
48245,Jefferson,0.0984695508,0.217558006039539,0,0,0,118.679155888606,0.0877581312361714,1,0.305198907595254,0.275232930588363,FALSE,FALSE
48247,Jim Hogg,1,0.0220600745827266,0,0,0,267.256477033044,0.988969962708637,1,0.0690748368341437,0.620470965305455,FALSE,FALSE
48249,Jim Wells,0.5008356689,0.209514829758222,0,0,0,194.909169986427,0.448369418946786,1,0.142403357851524,0.384449284513176,FALSE,FALSE
48251,Johnson,0.4647273617,0.23605045129699,0,0,0,53.8876186674438,0.409877809970328,1,0.583403520756161,0.552176734118451,FALSE,FALSE
48253,Jones,1,0.527797553806479,0,0,0,48.5294354178645,0.736101223096761,1,0.615515990392372,0.72693910210861,FALSE,FALSE
48255,Karnes,1,0.143856119136575,0,0,0,87.8630187158164,0.928071940431713,1,0.415351475965001,0.73701787712825,FALSE,FALSE
48257,Kaufman,0.4192209758,0.182500455252203,0,0,0,49.5293957451018,0.380966966332614,1,0.609391745720416,0.54889873429414,FALSE,FALSE
48259,Kendall,0.5680345085,0.0464843697984157,0,0,0,57.8365524751244,0.554832145424312,1,0.560814254881864,0.614223021589262,FALSE,FALSE
48261,Kenedy,1,0,0,0,0,291.920179162785,1,1,0.0539767548072359,0.61952678680553,FALSE,FALSE
48263,Kent,1,0.108861707636872,0,0,0,77.8876499662616,0.945569146181564,1,0.458921320034145,0.764111866993777,FALSE,FALSE
48265,Kerr,0.3945777406,0.020616521933969,0,0,0,104.763953491113,0.390510330278132,1,0.350764740609504,0.444096697298466,FALSE,FALSE
48267,Kimble,1,0.0263181108650775,0,0,0,164.846104655559,0.986840944567461,1,0.192345692029194,0.671618753719061,FALSE,FALSE
48269,King,1,0.0898931450781773,0,0,0,68.8397348006021,0.955053427460911,1,0.502380565444944,0.787200397108331,FALSE,FALSE
